City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
0,Bang Len,TH,14.02,100.17,86.0,79,40,8.05,scattered clouds,0.0,0.0
1,Bluff,NZ,-46.6,168.33,48.52,78,85,8.59,overcast clouds,0.0,0.0
2,Nanortalik,GL,60.14,-45.24,43.75,79,92,10.98,overcast clouds,0.0,0.0
3,Ushuaia,AR,-54.8,-68.3,37.4,74,75,14.99,broken clouds,0.0,0.0
4,Jamestown,US,42.1,-79.24,73.4,60,75,12.75,broken clouds,0.0,0.0
5,Ladybrand,ZA,-29.19,27.46,35.46,85,0,4.9,clear sky,0.0,0.0
6,Cherskiy,RU,68.75,161.3,40.51,70,82,6.08,broken clouds,0.0,0.0
7,Saint-Philippe,RE,-21.36,55.77,69.8,77,35,3.36,scattered clouds,0.0,0.0
8,Amazar,RU,53.86,120.88,55.31,88,1,2.86,clear sky,0.0,0.0
9,Mareeba,AU,-17.0,145.43,69.8,83,90,10.29,overcast clouds,0.0,0.0
10,Mount Isa,AU,-20.73,139.5,59.0,54,0,4.7,clear sky,0.0,0.0
11,Qaanaaq,GL,77.48,-69.36,43.72,65,19,3.47,few clouds,0.0,0.0
12,Cape Town,ZA,-33.93,18.42,60.01,67,20,2.24,few clouds,0.0,0.0
13,Mabaruma,GY,8.2,-59.78,80.91,89,11,6.29,moderate rain,1.09,0.0
14,Chokurdakh,RU,70.63,147.92,53.62,53,100,11.95,overcast clouds,0.0,0.0
15,Dingle,PH,11.0,122.67,76.41,87,100,2.62,overcast clouds,0.0,0.0
16,Dikson,RU,73.51,80.55,44.15,100,98,14.79,overcast clouds,0.0,0.0
17,Yellowknife,CA,62.46,-114.35,64.4,42,40,11.41,scattered clouds,0.0,0.0
18,Avarua,CK,-21.21,-159.78,73.4,69,68,9.17,broken clouds,0.0,0.0
19,Cidreira,BR,-30.18,-50.21,58.71,57,0,5.3,clear sky,0.0,0.0
20,Saint-Joseph,RE,-21.37,55.62,69.8,77,32,3.36,scattered clouds,0.0,0.0
21,Upernavik,GL,72.79,-56.15,41.04,71,0,10.29,clear sky,0.0,0.0
22,Baiyin,CN,36.56,104.21,73.0,48,16,6.71,few clouds,0.0,0.0
23,Buluang,PH,13.31,123.34,77.88,86,100,2.53,light rain,0.37,0.0
24,Rikitea,PF,-23.12,-134.97,67.93,63,6,19.22,clear sky,0.0,0.0
25,Busselton,AU,-33.65,115.33,57.0,53,68,24.81,broken clouds,0.0,0.0
26,Barrow,US,71.29,-156.79,51.8,66,1,9.17,clear sky,0.0,0.0
27,Port Alfred,ZA,-33.59,26.89,61.0,70,11,10.0,few clouds,0.0,0.0
28,Muros,ES,42.78,-9.06,68.0,89,76,3.0,broken clouds,0.0,0.0
29,Berlevag,NO,70.86,29.09,42.8,87,75,5.82,broken clouds,0.0,0.0
30,Lompoc,US,34.64,-120.46,59.0,87,90,11.41,overcast clouds,0.0,0.0
31,Atuona,PF,-9.8,-139.03,80.02,77,43,14.81,scattered clouds,0.0,0.0
32,Edson,CA,53.58,-116.44,51.8,93,90,11.41,light rain,0.0,0.0
33,Punta Arenas,CL,-53.15,-70.92,33.8,74,0,6.93,clear sky,0.0,0.0
34,Aklavik,CA,68.22,-135.01,55.4,54,40,2.24,scattered clouds,0.0,0.0
35,Novyy Urengoy,RU,66.08,76.63,55.11,97,100,12.93,moderate rain,1.82,0.0
36,Oktyabrskoye,RU,43.06,44.74,75.2,50,10,4.47,clear sky,0.0,0.0
37,Tuktoyaktuk,CA,69.45,-133.04,41.0,86,40,4.7,scattered clouds,0.0,0.0
38,Severo-Kurilsk,RU,50.68,156.12,48.43,69,65,2.3,broken clouds,0.0,0.0
39,Kapaa,US,22.08,-159.32,77.0,83,90,9.17,overcast clouds,0.0,0.0
40,Jumla,NP,29.27,82.18,63.61,71,99,1.68,light rain,0.16,0.0
41,Vaini,TO,-21.2,-175.2,75.2,94,40,4.7,scattered clouds,0.0,0.0
42,Hermanus,ZA,-34.42,19.23,57.0,80,44,13.85,scattered clouds,0.0,0.0
43,Georgetown,MY,5.41,100.34,84.2,79,20,9.17,few clouds,0.0,0.0
44,Albany,US,42.6,-73.97,72.0,98,33,5.53,moderate rain,2.95,0.0
45,Lebyazhye,RU,55.27,66.49,48.43,87,3,11.83,clear sky,0.0,0.0
46,New Norfolk,AU,-42.78,147.06,42.01,91,46,2.95,scattered clouds,0.0,0.0
47,Vao,NC,-22.67,167.48,69.01,54,0,8.57,clear sky,0.0,0.0
48,Palmer,US,42.16,-72.33,86.0,54,75,4.7,broken clouds,0.0,0.0
49,Ahipara,NZ,-35.17,173.17,55.76,76,24,15.43,light rain,0.21,0.0
50,Luoyang,CN,34.68,112.45,75.0,1,64,3.51,broken clouds,0.0,0.0
51,Rena,NO,61.13,11.36,61.65,89,100,3.44,light rain,0.3,0.0
52,Umm Kaddadah,SD,13.6,26.69,98.47,17,34,5.73,scattered clouds,0.0,0.0
