City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Bang Len,TH,86.0,scattered clouds,14.02,100.17,บ้านสอนพิเศษอังกฤษ คณิต
15,Dingle,PH,76.41,overcast clouds,11.0,122.67,Camp Pasica
31,Atuona,PF,80.02,scattered clouds,-9.8,-139.03,Villa Enata
36,Oktyabrskoye,RU,75.2,clear sky,43.06,44.74,Prolesok Mini-hotel
39,Kapaa,US,77.0,overcast clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
41,Vaini,TO,75.2,scattered clouds,-21.2,-175.2,Keleti Beach Resort
43,Georgetown,MY,84.2,few clouds,5.41,100.34,Cititel Penang
48,Palmer,US,86.0,broken clouds,42.16,-72.33,Wedgewood Motel
50,Luoyang,CN,75.0,broken clouds,34.68,112.45,易家国际青年旅舍
55,Faya,SA,84.2,few clouds,18.39,42.45,مقبرة ال مجمل
58,Mossoro,BR,86.74,broken clouds,-5.19,-37.34,Hotel Thermas
60,Hamilton,US,78.01,overcast clouds,39.18,-84.53,Six Acres Bed & Breakfast
61,Guerrero Negro,MX,76.42,clear sky,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
69,Sibenik,HR,87.8,clear sky,43.73,15.91,Hotel Jadran
70,Butaritari,KI,82.47,few clouds,3.07,172.79,Isles Sunset Lodge
74,San Lawrenz,MT,82.4,clear sky,36.06,14.2,San Andrea Hotel
76,Los Llanos De Aridane,ES,75.2,broken clouds,28.66,-17.92,Valle Aridane
77,Hithadhoo,MV,85.6,overcast clouds,-0.6,73.08,Scoop Guest House
80,Bethel,US,86.0,scattered clouds,41.37,-73.41,Courtyard by Marriott Danbury
82,Bang Yai,TH,86.0,scattered clouds,13.84,100.36,ปภาวรินท์ ไลฟ์อัพ
83,Labuhan,ID,76.69,clear sky,-6.88,112.21,bador sepret
85,Sao Filipe,CV,78.82,clear sky,14.9,-24.5,Tortuga B&B
88,Chapadinha,BR,89.78,few clouds,-3.74,-43.36,Chapadinhense Hotel
89,Waspan,NI,84.2,broken clouds,14.74,-83.97,Hostal casa de la rose
92,Khatanga,RU,76.98,broken clouds,71.97,102.5,"Gostinitsa ""Zapolyar'ye"""
93,Padang,ID,78.67,scattered clouds,-0.95,100.35,Mercure Padang
101,Naze,JP,78.8,overcast clouds,28.37,129.48,奄美ポートタワーホテル
102,Puerto Cabezas,NI,86.0,haze,14.04,-83.39,Hotel Caribe
104,Mao,ES,80.6,few clouds,39.89,4.27,ARTIEM Capri
106,Mitsamiouli,KM,78.33,few clouds,-11.38,43.28,Foyer ADM
110,Cilegon,ID,82.4,haze,-6.02,106.05,Horison Forbis Hotel
114,Shahr-E Babak,IR,81.36,clear sky,30.12,55.12,اقامتگاه گردشگری دوناdunagarden ecolodge
117,Belmonte,BR,78.8,scattered clouds,-15.86,-38.88,Pousada Monte Carmelo O Pão
132,Limanowa,PL,80.01,scattered clouds,49.71,20.42,Pokoje Limanowa
135,Kutum,SD,83.16,overcast clouds,14.2,24.67,Dibbo areaمنطقة دبو
139,Conakry,GN,82.17,overcast clouds,9.54,-13.68,Riviera Royal Hotel
148,Hami,CN,85.05,clear sky,42.8,93.45,Laoyutang Resort
159,Grants,US,82.4,clear sky,35.15,-107.85,"Motel 6 Grants, NM"
160,Luang Prabang,LA,75.42,broken clouds,19.89,102.13,Villa Oasis
163,Merauke,ID,77.32,broken clouds,-8.47,140.33,
167,Karabulak,RU,75.2,clear sky,43.3,44.9,
168,Itarema,BR,84.61,scattered clouds,-2.92,-39.92,Windvillage
172,Fethiye,TR,77.0,clear sky,36.62,29.12,Club & Hotel Letoonia
181,Trat,TH,76.77,broken clouds,12.5,102.5,สวนหนิง-อัศ
182,San Patricio,MX,86.0,few clouds,19.22,-104.7,Hotel Cabo Blanco
185,San Blas,MX,84.2,broken clouds,21.52,-105.27,Hotel Posada del Rey
186,Anloga,GH,80.6,few clouds,5.79,0.9,Dey Lodge
187,Vilhena,BR,86.95,scattered clouds,-12.74,-60.15,Hotel Mirage
195,Rameswaram,IN,85.5,broken clouds,9.28,79.3,Daiwik Hotels Rameswaram
206,Kapustin Yar,RU,75.67,clear sky,48.58,45.74,"Gostinitsa ""Znamensk"""
211,Mogadishu,SO,78.64,overcast clouds,2.04,45.34,Hotel Juba
214,Cabo San Lucas,MX,82.99,overcast clouds,22.89,-109.91,Hotel Tesoro Los Cabos
216,Kloulklubed,PW,75.2,broken clouds,7.04,134.26,Storyboard Beach Resort
219,Bengkulu,ID,77.34,scattered clouds,-3.8,102.27,Grage Hotel Bengkulu
221,Nago,JP,82.4,broken clouds,26.59,127.98,Hotel Yugaf Inn Okinawa
225,Sal Rei,CV,82.4,broken clouds,16.18,-22.92,Marine Club Beach Resort
226,Oistins,BB,87.8,scattered clouds,13.07,-59.53,Butterfly Beach Hotel
232,Snasa,NO,80.6,broken clouds,64.25,12.38,Snåsa Hotell AS
236,Korla,CN,84.99,broken clouds,41.76,86.15,Gulisitan Hotel
237,Sur,OM,86.58,clear sky,22.57,59.53,Sur Plaza Hotel
238,Salalah,OM,86.0,broken clouds,17.02,54.09,HAMDAN PLAZA HOTEL
240,Jertih,MY,80.6,few clouds,5.73,102.49,One Utama Hotel
243,Tooele,US,82.0,clear sky,40.53,-112.3,Holiday Inn Express & Suites Tooele
251,Gora,PL,82.0,broken clouds,51.67,16.53,Hotel Góra
253,Victoria,HK,84.0,overcast clouds,22.29,114.16,Mini Hotel Central
256,Bahia Honda,CU,88.38,clear sky,22.9,-83.16,Casa Gualberto - Deysi
262,Puerto Leguizamo,CO,87.8,scattered clouds,-0.19,-74.78,la casona de juancho
265,Wana,PK,84.58,clear sky,32.3,69.57,Rasa travel wana
266,Puerto Ayora,EC,78.8,broken clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
277,Sao Joao Da Barra,BR,75.2,broken clouds,-21.64,-41.05,Pousada Porto De Canoas
285,Srandakan,ID,76.37,broken clouds,-7.94,110.25,Puri Brata
286,Erzin,TR,77.0,clear sky,36.96,36.2,Artemis Otel
289,Duekoue,CI,82.27,broken clouds,6.75,-7.35,Résidence Doué
290,Safaga,EG,84.61,clear sky,26.73,33.94,Lamar Resort Abu Soma
293,Tabou,CI,77.18,scattered clouds,4.42,-7.35,hotêl doufoulougou
298,Sumenep,ID,79.0,scattered clouds,-7.02,113.87,OYO 3271 Homestay Pandian
301,Ugoofaaru,MV,83.25,clear sky,5.67,73.0,Ungoofaaru Inn
316,Soria,ES,82.99,scattered clouds,41.67,-2.67,Casa Rural Sierra de Inodejo
321,Champerico,GT,86.0,broken clouds,14.3,-91.92,"Hotel y restaurante ""El Diamante"""
322,Hays,US,84.99,overcast clouds,30.05,-98.03,Sinya on Lone Man Creek
324,Manokwari,ID,78.49,overcast clouds,-0.87,134.08,Swiss Belhotel Manokwari
326,Makakilo City,US,75.2,few clouds,21.35,-158.09,Marriott's Ko Olina Beach Club
327,Padre Bernardo,BR,87.44,clear sky,-15.35,-48.5,
328,Olinda,BR,75.2,light rain,-8.01,-34.86,Hotel 5 Sóis
333,Chabahar,IR,85.71,few clouds,25.29,60.64,هتل گدروشیا
335,Manggar,ID,81.82,broken clouds,-2.88,108.27,Guest Hotel
336,Manavalakurichi,IN,82.4,mist,8.13,77.3,Udaya Boys Hostel
339,Coquimatlan,MX,86.0,broken clouds,19.2,-103.8,Maria de la Luz Olague Carrasco
344,Awjilah,LY,86.23,clear sky,29.11,21.29,
