City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Marsa Matruh,EG,2020-06-24 22:17:00,31.35,27.25,71.6,78,40,8.05
1,Khatanga,RU,2020-06-24 22:14:24,71.97,102.5,71.85,55,100,10.27
2,Codrington,AU,2020-06-24 22:14:20,-38.27,141.97,45.73,92,0,12.3
3,Banjar,ID,2020-06-24 22:17:00,-8.19,114.97,77.0,100,40,4.7
4,Bilibino,RU,2020-06-24 22:17:00,68.05,166.44,54.88,41,31,3.33
5,Atuona,PF,2020-06-24 22:17:01,-9.8,-139.03,79.2,69,35,14.79
6,Cap-Aux-Meules,CA,2020-06-24 22:14:26,47.38,-61.86,73.4,73,5,14.99
7,Kurtalan,TR,2020-06-24 22:17:01,37.93,41.7,60.8,72,0,4.7
8,Mocuba,MZ,2020-06-24 22:17:01,-16.84,36.99,62.74,98,5,3.11
9,Rikitea,PF,2020-06-24 22:15:00,-23.12,-134.97,70.59,55,97,9.8
10,Clinton,US,2020-06-24 22:17:01,42.59,-82.92,73.99,43,75,14.99
11,Mocajuba,BR,2020-06-24 22:17:01,-2.58,-49.51,79.3,80,86,3.11
12,Havelock,US,2020-06-24 22:12:30,34.88,-76.9,87.8,58,20,10.29
13,Dhidhdhoo,MV,2020-06-24 22:15:33,6.88,73.1,83.46,77,100,18.72
14,Mataura,NZ,2020-06-24 22:17:01,-46.19,168.86,45.88,85,53,7.52
15,Puerto Ayora,EC,2020-06-24 22:13:48,-0.74,-90.35,80.6,61,20,5.82
16,Tuatapere,NZ,2020-06-24 22:17:01,-46.13,167.68,44.85,85,100,4.79
17,Bengkulu,ID,2020-06-24 22:17:02,-3.8,102.27,77.0,69,100,2.98
18,Hervey Bay,AU,2020-06-24 22:17:02,-25.3,152.85,51.01,73,0,4.0
19,Ushuaia,AR,2020-06-24 22:14:12,-54.8,-68.3,35.6,100,75,8.05
20,New Norfolk,AU,2020-06-24 22:17:02,-42.78,147.06,50.0,94,92,2.39
21,Arraial Do Cabo,BR,2020-06-24 22:16:25,-22.97,-42.03,73.4,73,21,11.41
22,Marystown,CA,2020-06-24 22:17:02,47.17,-55.15,62.53,93,90,6.46
23,Jablah,SY,2020-06-24 22:17:02,35.36,35.93,69.8,83,40,6.93
24,Vaini,TO,2020-06-24 22:14:19,-21.2,-175.2,75.2,78,75,6.93
25,Pampa,US,2020-06-24 22:17:02,35.54,-100.96,93.2,26,1,14.99
26,Clyde River,CA,2020-06-24 22:17:02,70.47,-68.59,46.4,70,1,14.99
27,Georgetown,MY,2020-06-24 22:12:25,5.41,100.34,77.0,94,20,8.46
28,Carnarvon,AU,2020-06-24 22:17:02,-24.87,113.63,53.6,100,0,8.05
29,Bluff,NZ,2020-06-24 22:17:03,-46.6,168.33,48.76,84,69,18.7
30,Lasa,IT,2020-06-24 22:17:03,46.62,10.7,59.0,77,5,1.12
31,Padang,ID,2020-06-24 22:17:03,-0.95,100.35,79.2,59,98,4.5
32,Saint-Pierre,RE,2020-06-24 22:15:47,-21.34,55.48,68.0,77,2,6.93
33,Churapcha,RU,2020-06-24 22:12:48,62.0,132.43,67.96,51,0,6.31
34,Marawi,PH,2020-06-24 22:17:03,8.0,124.29,77.0,91,99,3.0
35,Dalaba,GN,2020-06-24 22:17:03,10.7,-12.25,64.54,100,55,2.42
36,Torbay,CA,2020-06-24 22:14:08,47.67,-52.73,77.0,69,75,14.99
37,Yellowknife,CA,2020-06-24 22:17:03,62.46,-114.35,71.6,35,75,11.41
38,Muzaffarabad,PK,2020-06-24 22:17:04,34.37,73.47,74.57,51,14,4.23
39,Paulo Afonso,BR,2020-06-24 22:17:04,-9.41,-38.21,71.2,91,28,7.07
40,Mount Gambier,AU,2020-06-24 22:14:57,-37.83,140.77,44.6,93,75,11.41
41,Coihaique,CL,2020-06-24 22:16:02,-45.58,-72.07,39.2,60,20,3.36
42,Bambous Virieux,MU,2020-06-24 22:14:36,-20.34,57.76,71.6,83,40,9.17
43,Luderitz,NA,2020-06-24 22:17:04,-26.65,15.16,64.4,38,0,4.7
44,Boa Vista,BR,2020-06-24 22:17:04,2.82,-60.67,80.6,74,75,8.05
45,Hilo,US,2020-06-24 22:14:05,19.73,-155.09,80.6,69,90,16.11
46,Hobart,AU,2020-06-24 22:14:28,-42.88,147.33,50.0,93,40,5.01
47,Mahebourg,MU,2020-06-24 22:17:05,-20.41,57.7,71.6,83,40,9.17
48,Bethel,US,2020-06-24 22:17:05,41.37,-73.41,84.99,34,1,13.87
49,Saskylakh,RU,2020-06-24 22:17:05,71.92,114.08,79.77,31,2,5.57
50,Maniitsoq,GL,2020-06-24 22:17:05,65.42,-52.9,40.08,85,33,10.18
51,Severo-Kurilsk,RU,2020-06-24 22:17:05,50.68,156.12,51.57,77,8,7.2
52,Kaitangata,NZ,2020-06-24 22:15:18,-46.28,169.85,46.99,92,94,15.99
53,Sept-Iles,CA,2020-06-24 22:17:05,50.2,-66.38,73.4,64,75,9.17
54,Cidreira,BR,2020-06-24 22:16:22,-30.18,-50.21,68.74,71,29,7.2
55,San Juan,AR,2020-06-24 22:12:25,-31.54,-68.54,45.52,74,100,11.23
56,Kyabe,TD,2020-06-24 22:17:05,9.45,18.94,75.61,80,91,4.85
57,Albany,US,2020-06-24 22:17:06,42.6,-73.97,84.0,33,1,10.07
58,Ribeira Grande,PT,2020-06-24 22:17:06,38.52,-28.7,63.52,66,0,10.49
59,Baculin,PH,2020-06-24 22:17:06,7.45,126.58,79.75,75,100,4.43
60,Ust-Kulom,RU,2020-06-24 22:17:06,61.69,53.69,37.45,96,59,6.11
61,Lagoa,PT,2020-06-24 22:14:38,39.05,-27.98,63.28,67,0,11.25
62,Kavieng,PG,2020-06-24 22:15:38,-2.57,150.8,84.6,70,62,12.12
63,Bredasdorp,ZA,2020-06-24 22:17:06,-34.53,20.04,51.8,100,0,4.07
64,Hermanus,ZA,2020-06-24 22:17:06,-34.42,19.23,60.35,60,0,3.89
65,Butaritari,KI,2020-06-24 22:17:07,3.07,172.79,83.61,77,89,11.86
